"Date","Site.Name","PM2.5","Ozone"
2020-02-10,"Bryson City",36.5,NA
2020-02-10,"Castle Hayne",6.5,38
2020-02-10,"Clemmons Middle",36.5,NA
2020-02-10,"Durham Armory",40,32
2020-02-10,"Frying Pan Mountain",1,44
2020-02-10,"Garinger High School",37.5,24
2020-02-10,"Hattie Avenue",47.3333333333333,NA
2020-02-10,"Leggett",20.5,34
2020-02-10,"Linville Falls",14,NA
2020-02-10,"Mendenhall School",39,NA
2020-02-10,"Millbrook School",40,27
2020-02-10,"Pitt Agri. Center",23,NA
2020-02-10,"West Johnston Co.",31.5,NA
2020-02-11,"Bryson City",25,NA
2020-02-11,"Castle Hayne",13,21
2020-02-11,"Clemmons Middle",19,NA
2020-02-11,"Durham Armory",31,24
2020-02-11,"Frying Pan Mountain",3,34
2020-02-11,"Garinger High School",32.25,19
2020-02-11,"Hattie Avenue",32.6666666666667,NA
2020-02-11,"Leggett",14,27
2020-02-11,"Linville Falls",10,NA
2020-02-11,"Mendenhall School",27,NA
2020-02-11,"Millbrook School",36,22
2020-02-11,"Pitt Agri. Center",16,NA
2020-02-11,"West Johnston Co.",25.5,NA
2020-02-12,"Bryson City",11.5,NA
2020-02-12,"Castle Hayne",1,31
2020-02-12,"Clemmons Middle",14.5,NA
2020-02-12,"Durham Armory",18,22
2020-02-12,"Frying Pan Mountain",NA,45
2020-02-12,"Garinger High School",10.3333333333333,21
2020-02-12,"Hattie Avenue",13.5,NA
2020-02-12,"Leggett",8,25
2020-02-12,"Mendenhall School",9,NA
2020-02-12,"Millbrook School",24.6666666666667,24.5
2020-02-12,"Pitt Agri. Center",15.3333333333333,NA
2020-02-12,"West Johnston Co.",14.5,NA
2020-02-13,"Bryson City",16,40
2020-02-13,"Castle Hayne",10.5,41
2020-02-13,"Clemmons Middle",24,NA
2020-02-13,"Durham Armory",28.3333333333333,41
2020-02-13,"Frying Pan Mountain",3,46
2020-02-13,"Garinger High School",16.25,35
2020-02-13,"Hattie Avenue",21,NA
2020-02-13,"Leggett",11.5,NA
2020-02-13,"Linville Falls",11,NA
2020-02-13,"Mendenhall School",13.5,NA
2020-02-13,"Millbrook School",25.5,36.5
2020-02-13,"Pitt Agri. Center",19,NA
2020-02-13,"West Johnston Co.",20.5,NA
2020-02-14,"Bryson City",29.5,35
2020-02-14,"Castle Hayne",11,44
2020-02-14,"Clemmons Middle",36,NA
2020-02-14,"Durham Armory",31,36
2020-02-14,"Frying Pan Mountain",5,NA
2020-02-14,"Garinger High School",25,28.5
2020-02-14,"Hattie Avenue",30.25,NA
2020-02-14,"Leggett",20,38
2020-02-14,"Linville Falls",8,41
2020-02-14,"Mendenhall School",27,NA
2020-02-14,"Millbrook School",27,30.5
2020-02-14,"Pitt Agri. Center",20,NA
2020-02-14,"West Johnston Co.",33,NA
2020-02-15,"Bryson City",35,23
2020-02-15,"Castle Hayne",16.5,47
2020-02-15,"Clemmons Middle",46,NA
2020-02-15,"Durham Armory",37.5,37
2020-02-15,"Garinger High School",34,30.5
2020-02-15,"Hattie Avenue",41,NA
2020-02-15,"Leggett",24,44
2020-02-15,"Linville Falls",NA,38
2020-02-15,"Mendenhall School",33,NA
2020-02-15,"Millbrook School",40,32.5
2020-02-15,"Pitt Agri. Center",29,NA
2020-02-15,"West Johnston Co.",34.5,NA
2020-02-16,"Bryson City",18,34
2020-02-16,"Castle Hayne",23.5,34
2020-02-16,"Clemmons Middle",34,NA
2020-02-16,"Durham Armory",31,33
2020-02-16,"Frying Pan Mountain",8,NA
2020-02-16,"Garinger High School",18.5,34
2020-02-16,"Hattie Avenue",23,NA
2020-02-16,"Leggett",19,36
2020-02-16,"Linville Falls",10,33
2020-02-16,"Mendenhall School",16,NA
2020-02-16,"Millbrook School",33,33.5
2020-02-16,"Pitt Agri. Center",26.3333333333333,NA
2020-02-16,"West Johnston Co.",26,NA
2020-02-17,"Bryson City",19.5,23
2020-02-17,"Castle Hayne",16,27
2020-02-17,"Clemmons Middle",39,NA
2020-02-17,"Durham Armory",33.3333333333333,26
2020-02-17,"Frying Pan Mountain",3,NA
2020-02-17,"Garinger High School",28,26
2020-02-17,"Hattie Avenue",31,NA
2020-02-17,"Leggett",17.5,27
2020-02-17,"Linville Falls",10,33
2020-02-17,"Mendenhall School",21,NA
2020-02-17,"Millbrook School",39,28.5
2020-02-17,"Pitt Agri. Center",23.3333333333333,NA
2020-02-17,"West Johnston Co.",26.5,NA
2020-02-18,"Bryson City",11,34
2020-02-18,"Castle Hayne",14,30
2020-02-18,"Clemmons Middle",24.5,NA
2020-02-18,"Durham Armory",24,NA
2020-02-18,"Garinger High School",17,34
2020-02-18,"Hattie Avenue",20.5,NA
2020-02-18,"Leggett",6.5,34
2020-02-18,"Linville Falls",NA,37
2020-02-18,"Mendenhall School",15,NA
2020-02-18,"Millbrook School",24.6666666666667,35
2020-02-18,"Pitt Agri. Center",10,NA
2020-02-18,"West Johnston Co.",12.5,NA
2020-02-19,"Bryson City",28,38
2020-02-19,"Castle Hayne",9.5,35
2020-02-19,"Clemmons Middle",36,NA
2020-02-19,"Durham Armory",31,29
2020-02-19,"Frying Pan Mountain",9,NA
2020-02-19,"Garinger High School",27.75,22
2020-02-19,"Hattie Avenue",35.25,NA
2020-02-19,"Leggett",17.5,33
2020-02-19,"Linville Falls",13,28
